"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",33,1.14661288067445,1000,10,0.01,0.3,4
"2",39,9.46875280364927e-05,200,10,5e-05,0.2,5
"3",1,0.326549869227438,200,10,0.01,0.3,4
"4",1,4.21256191869264e-07,200,4,5e-06,0.2,5
"5",1,0.0529598063863889,100,5,0.005,0.2,5
"6",46,0.444343691810286,500,5,0.01,0.5,3
"7",84,0.46836562685912,1000,10,0.005,0.5,2
"8",9,0.570205371773579,500,10,0.005,0.5,5
"9",194,1.03604983171821e-06,500,5,5e-06,0.1,2
"10",1,0.441459945484532,200,4,0.01,0.1,5
