"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",38,21.6880564629671,500,5,0.005,0.3,2
"2",17,100.524909393963,1000,10,0.005,0.2,5
"3",1,0.00139038210896418,100,4,5e-05,0.1,4
"4",1,0.00121099712781666,100,5,5e-05,0.3,2
"5",1,0.482282716521451,1000,4,1e-04,0.5,5
"6",452,0.00126373681396761,1000,5,5e-06,0.5,5
"7",117,150.151734634968,5000,5,0.005,0.1,2
"8",5,45.5653765327506,500,5,0.01,0.5,3
"9",8,259.044744320612,5000,10,0.005,0.3,2
"10",289,0.000806626541145202,1000,5,5e-06,0.5,3
