"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.00083777510318115,100,10,5e-05,0.3,2
"2",357,3.75905862494589,5000,10,1e-04,0.1,5
"3",7,25.9816200694256,1000,5,0.01,0.3,2
"4",8,1.77896910600613,200,4,0.005,0.2,2
"5",13,0.00756166344949156,500,5,5e-05,0.5,3
"6",2,7.46912115777732,500,4,0.005,0.2,2
"7",1,0.0130928708119727,200,10,1e-04,0.3,5
"8",21,4.21155474339009,200,4,0.01,0.1,4
"9",74,0.020511533998153,500,5,1e-04,0.2,2
"10",82,8.89177286343937e-05,500,5,5e-06,0.5,4
