"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.000605649555038897,200,5,5e-05,0.3,3
"2",1,9.40712322026922,1000,4,0.01,0.2,5
"3",9,0.0896131415905648,1000,10,1e-04,0.5,5
"4",1,0.929740377206449,200,4,0.005,0.2,3
"5",1,2.54325838841484,100,10,0.01,0.1,5
"6",1,32.4688890598825,5000,4,0.01,0.3,5
"7",1,0.000141850092767448,100,4,5e-05,0.3,4
"8",2,0.310120270887271,100,5,0.005,0.1,2
"9",18,0.0101002246550951,500,5,1e-04,0.2,5
"10",25,4.26021468344329,200,10,0.01,0.1,5
