"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",32,2.24664091504394e-06,200,4,5e-06,0.3,2
"2",1,1.6358880186349,100,5,0.01,0.5,4
"3",7,1.98198709276293e-06,200,4,5e-06,0.5,2
"4",14,0.0514884629224703,1000,10,1e-04,0.3,2
"5",1,0.0350454179657679,1000,4,1e-04,0.2,4
"6",1,1.91456037326466,200,4,0.01,0.1,4
"7",1,12.5532058203649,1000,5,0.01,0.3,2
"8",1,0.0141107901071786,1000,5,5e-05,0.2,5
"9",17,0.000326334034515509,100,5,1e-04,0.3,3
"10",1,0.00628527169839922,500,10,5e-05,0.1,4
