"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",40,12.2868739161907,1000,5,0.01,0.1,3
"2",66,5.19606840432025,500,4,0.01,0.2,3
"3",215,0.0776216279543616,1000,10,1e-04,0.1,5
"4",87,13.6936485423085,1000,5,0.01,0.3,4
"5",1,0.0792550002602809,1000,4,1e-04,0.2,2
"6",107,0.0245942690906347,1000,10,5e-05,0.1,3
"7",227,0.00191790063127933,500,4,5e-05,0.5,3
"8",101,0.000480303817576278,200,5,5e-05,0.3,4
"9",49,9.64540933124492,500,4,0.01,0.2,5
"10",44,0.000256766258806529,100,4,1e-04,0.5,2
