"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",16,0.00020873909936293,100,10,5e-05,0.5,2
"2",1,5.13670277440214e-05,500,4,5e-06,0.1,5
"3",6,4.59373494422154,200,5,0.01,0.3,4
"4",85,0.0163727598405491,1000,5,5e-05,0.3,4
"5",10,4.01676785911148,200,5,0.01,0.5,4
"6",1,0.00558631264248005,200,10,1e-04,0.2,5
"7",8,1.79530044672746,200,5,0.005,0.1,4
"8",1,0.0314655285329468,1000,10,5e-05,0.5,3
"9",45,0.00010069298950605,100,5,5e-05,0.2,3
"10",41,0.0620871920125934,1000,5,1e-04,0.2,2
