"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",267,0.0240517530425821,1000,4,5e-05,0.3,5
"2",8,5.13685112695912,200,10,0.005,0.2,4
"3",29,1.13752126176075,100,4,0.005,0.3,4
"4",113,4.62193209344846e-05,500,4,5e-06,0.3,3
"5",173,0.0376275191820874,1000,10,5e-05,0.1,3
"6",18,2.71858926541634e-06,100,4,5e-06,0.2,2
"7",34,0.000229919667070325,100,4,5e-05,0.3,5
"8",96,0.000975231249152925,200,5,5e-05,0.1,4
"9",42,0.000383483792657429,100,10,5e-05,0.5,4
"10",34,0.109632877929705,1000,4,1e-04,0.3,2
