"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.00412083707668549,1000,10,5e-05,0.3,5
"2",20,0.302144955106816,200,5,0.01,0.1,4
"3",21,7.50560415354931e-05,100,10,1e-04,0.1,3
"4",22,2.90739818610476e-05,200,4,5e-05,0.1,2
"5",80,0.290581979623,1000,4,0.005,0.2,2
"6",35,0.998935513662309,1000,4,0.01,0.5,5
"7",136,1.34950562390497e-05,1000,5,5e-06,0.5,5
"8",31,3.96708888495249e-08,100,4,5e-06,0.3,2
"9",4,0.268106463450549,200,5,0.01,0.1,3
"10",66,0.123773984895271,200,5,0.01,0.1,3
