"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",6,81.1164175769118,1000,5,0.01,0.1,2
"2",1,1.90197197672216e-05,100,10,5e-06,0.5,3
"3",13,37.3770783214309,500,4,0.01,0.3,4
"4",1,0.0319418175896834,200,5,1e-04,0.3,5
"5",12,8.76019453894541e-06,100,4,5e-06,0.5,5
"6",1,0.000309833755061452,500,5,5e-06,0.1,4
"7",1,0.0483287493418883,500,4,1e-04,0.5,3
"8",1,0.107376546832931,500,5,1e-04,0.2,5
"9",2,0.00802755031493892,100,10,1e-04,0.1,2
"10",1,0.830486493555044,1000,10,1e-04,0.2,5
