"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.000287466289176791,100,5,5e-06,0.2,2
"2",39,1.76622645087875,500,4,1e-04,0.3,5
"3",101,0.761270748067024,1000,5,5e-05,0.2,2
"4",3,145.639330548446,100,5,0.01,0.3,2
"5",6,106.58658652448,100,5,0.01,0.5,2
"6",185,0.858578399299633,500,4,1e-04,0.3,3
"7",1,0.427632241272297,500,5,5e-05,0.1,4
"8",3,1408.05545794323,500,10,0.01,0.1,4
"9",4,0.466552462111424,500,5,5e-05,0.3,5
"10",1,1654.69635249617,500,10,0.01,0.1,4
