"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.276585161027158,200,5,1e-04,0.3,4
"2",193,1.13639265130548,500,10,1e-04,0.5,2
"3",1,76.9174614883534,100,4,0.005,0.5,4
"4",1,0.000212809714966982,100,10,5e-06,0.3,2
"5",1,552.329737703276,1000,5,0.005,0.5,2
"6",1,5.47570175097045,1000,5,1e-04,0.1,5
"7",1,0.314416401442075,5000,4,5e-06,0.1,3
"8",1,1.59945913914325,1000,5,5e-05,0.5,2
"9",1,880.175734000901,500,4,0.01,0.5,5
"10",60,0.0692236218646513,200,4,1e-04,0.3,3
