"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.0362953630163217,100,10,5e-05,0.5,2
"2",1,12.0258645327655,1000,10,1e-04,0.3,4
"3",1,1421.17045950654,1000,5,0.01,0.2,5
"4",1,1.16004869021951,1000,4,5e-05,0.2,3
"5",1,0.211573000473481,200,4,1e-04,0.3,5
"6",1,726.357001541649,1000,4,0.005,0.5,2
"7",1,827.157041496342,1000,5,0.005,0.3,4
"8",1,4281.58177609955,5000,10,0.005,0.5,4
"9",1,8.82583717238741,1000,10,1e-04,0.2,2
"10",1,2.99460351101905,1000,10,5e-05,0.2,5
