"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,6.46666800036417e-06,1000,5,5e-06,0.1,4
"2",1,0.000968106711512402,1000,5,1e-04,0.3,2
"3",1,0.00265551347919808,1000,10,1e-04,0.3,4
"4",1,1.42766717753039e-05,200,4,5e-05,0.1,4
"5",1,5.99842670798238e-08,200,4,5e-06,0.5,2
"6",49,0.000431153409511162,1000,10,5e-05,0.5,3
"7",1,2.00044987006949e-07,200,10,5e-06,0.5,2
"8",1,0.132188541761192,1000,4,0.005,0.3,5
"9",1,0.203657889914624,500,10,0.005,0.5,4
"10",1,0.00427827675547583,1000,10,1e-04,0.2,5
