"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",44,0.00411467433303536,500,4,5e-06,0.1,3
"2",35,0.0291682370671787,200,4,5e-05,0.1,3
"3",6,0.000207756534974033,100,5,5e-06,0.5,5
"4",12,61.4169803485944,100,5,0.005,0.2,5
"5",38,146.559919492036,200,4,0.01,0.2,3
"6",2,2012.58062227296,1000,10,0.01,0.1,5
"7",270,1.58400384287287,500,4,1e-04,0.5,5
"8",38,752.41017558451,1000,5,0.005,0.2,4
"9",23,0.0752146407742116,100,10,1e-04,0.5,5
"10",74,5.92721893957397,1000,10,1e-04,0.1,2
