"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",169,1.18786420821689e-06,1000,5,5e-06,0.3,3
"2",49,0.0134611841294835,200,5,0.005,0.2,3
"3",1,9.33424792944953e-06,200,5,5e-05,0.2,2
"4",404,1.89260559689891e-06,1000,5,5e-06,0.3,4
"5",360,0.00011011439413949,1000,5,5e-05,0.1,5
"6",3,5.59531226030246e-08,200,4,5e-06,0.5,3
"7",56,0.209768263576113,1000,10,0.01,0.3,4
"8",178,6.33549208483463e-05,500,4,1e-04,0.2,4
"9",1,1.04404995325467e-05,200,5,5e-05,0.1,2
"10",45,0.0122961028033403,200,4,0.005,0.2,4
