"","b","c","alpha","mse","mse_debiased","maxmin_norm_mse","iqr_norm_mse"
"CF",1.14351177351454,1.51141787526611,0,61.7456882186763,60.7476759577838,0.948226228635701,13.8956331619664
"CBoost",1.14351177351454,1.51141787526611,0,61.3521655630277,60.7476759577838,0.942182915905477,13.8070723794799
"CMARS",1.14351177351454,1.51141787526611,0,61.8068318273298,60.7476759577838,0.949165208750933,13.9093932994037
"PTOForest",1.14351177351454,1.51141787526611,6.93889390390723e-18,63.571684695496,60.7476759577838,0.976267988354772,14.3065667498644
"XBoosting",NA,NA,NA,NA,NA,NA,NA
"XRF",1.14351177351454,1.51141787526611,0,62.5284853602433,60.7476759577838,0.960247615112212,14.0717986924392
"XBART",1.14351177351454,1.51141787526611,0,64.2671289583338,60.7476759577838,0.986947899934049,14.4630738459836
"RBoosting",1.14351177351454,1.51141787526609,0,60.9400657525496,60.7476759577838,0.935854314502133,13.714330878693
"RLasso",NA,NA,NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA,NA,NA
"stack",NA,NA,NA,NA,NA,NA,NA
