"","b","c","alpha","mse","mse_debiased"
"CF",1.0987970495588,-0.492651935324701,0,499.135070854381,498.966852596635
"CBoost",1.18395343510029,0.430978864849879,10585.1952362191,499.013458034915,489.811473954259
"CMARS",1.0987970495588,-0.492651935324701,0,501.93380709086,498.966852596635
"PTOForest",1.09900606407586,-0.482884983286959,0.0167660429320051,501.068314487984,498.966710014085
"XBoosting",NA,NA,NA,NA,NA
"XRF",1.0987970495588,-0.492651935324701,0,504.103249749734,498.966852596635
"XBART",1.0994976875022,-0.461705161577565,0.065724965896113,504.143553717159,498.942761195403
"RBoosting",1.08600496496764,-1.22788494371082,2.32629307451771,498.985859374724,498.772453976518
"RLasso",NA,NA,NA,NA,NA
"RSlearner",1.0987970495588,-0.492651935324701,0,500.8794454738,498.966852596635
"stack",1.18395343510029,1.66680095397422e-14,1.00000000000001,489.811473954259,489.811473954259
