"","b","c","alpha","mse","mse_debiased"
"CF",0.816103691748961,-1.98893527472963,6.32783169901619,381.217509271255,379.224933686815
"CBoost",0.81885716098719,-2.40633307598965,0,381.533224505558,380.007722800647
"CMARS",0.81885716098719,-2.40633307598965,0,383.347949228228,380.007722800647
"PTOForest",0.809030783504865,-3.66481890012925,0.740064007379234,383.978768270997,379.602866899335
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.915370728430003,-2.25235083638118,0.783946665452521,379.999475469795,378.530645842236
"XBART",0.818857160987191,-2.40633307598965,0,388.184986322792,380.007722800647
"RBoosting",0.81885716098719,-2.40633307598965,0,382.220818484544,380.007722800647
"RLasso",0.814487988454329,-2.37483001334678,0.367842306810953,381.83179571015,379.780064568514
"RSlearner",0.81885716098719,-1.31997798523496,14.8645161290323,381.436282255,380.007722800647
"stack",0.9007372336061,1.61688511551779e-14,1,378.331792924437,378.331792924437
