"","b","c","alpha","mse","mse_debiased"
"CF",0.233307816008163,1.83694457004415,0.592273544746614,793.05374417673,791.68995979552
"CBoost",0.219174308719621,1.12336437738818,0,792.050985516274,791.746371051647
"CMARS",0.219174308719621,1.12336437738818,0,794.985243543639,791.746371051647
"PTOForest",0.227136747008207,1.0333416117169,0.340228800891689,792.243786106057,791.637007801928
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.219174308719621,1.12336437738818,0,801.734133184428,791.746371051647
"XBART",0.221428535082283,1.1811141433954,0.0586196145144448,801.964688096497,791.711889960917
"RBoosting",0.299321896703139,-0.00850365567002454,4.2742950343891,790.829872345263,789.125478447575
"RLasso",0.238050280231866,1.39678240409021,0.263650297571311,795.448419479197,791.383364363752
"RSlearner",0.219174308719621,1.12336437738818,-5.55111512312578e-17,792.984539422002,791.746371051647
"stack",0.299321896703139,-2.90652838626162e-15,0.999999999999998,789.125478447575,789.125478447575
