"","b","c","alpha","mse","mse_debiased"
"CF",-1.84901134666927,16.7105173931854,0.828175927701623,4148.0698431244,4075.59010502791
"CBoost",-1.70138504028985,14.5118463217407,1847.34039920485,4121.9224616168,4064.80301546784
"CMARS",-1.75312764999999,13.3797397559514,0,4308.757313187,4079.69688311129
"PTOForest",-1.75312764999999,13.3797397559514,0,4218.21957960031,4079.69688311129
"XBoosting",NA,NA,NA,NA,NA
"XRF",-1.71984491937751,13.5759189847788,0.488046116297186,4124.98798169931,4074.26873653205
"XBART",-1.76991949999744,13.8170692710497,0.181431543642821,4163.09085921696,4078.52355915681
"RBoosting",-1.79672078851969,13.0340739050259,1.10631852016612,4116.99160012415,4076.80320251451
"RLasso",NA,NA,NA,NA,NA
"RSlearner",-2.45907103584617,18.0939733014877,1.43814159392148,4120.61039783231,4053.56064138882
"stack",-2.35573681469921,7.49111779943822e-15,1,4043.77794116853,4043.77794116853
