"","b","c","alpha","mse","mse_debiased"
"CF",3.56216911050172,3.92003213827791,3.35611012138721,1982.63067073187,1960.56583236807
"CBoost",4.06824920097901,4.72007466478938,0,1999.40196401932,1994.07531963331
"CMARS",3.74971007208146,4.27233716895172,1.06990551160437,1978.21480578091,1973.56426705838
"PTOForest",4.06824920097901,4.72007466478938,0,2034.95840509249,1994.07531963331
"XBoosting",NA,NA,NA,NA,NA
"XRF",3.90464319335076,5.81239303448059,1.66284900558392,1986.34019826396,1976.24805330525
"XBART",3.82463135138756,4.59072425931114,0.626362374336995,1991.86575595209,1985.82571960506
"RBoosting",4.06824920097901,4.72007466478938,0,2002.01007113834,1994.07531963331
"RLasso",3.43354040498485,4.72158741647662,1.87661399486002,1980.27043825489,1968.19282891762
"RSlearner",3.60289311716796,4.2655722416751,1.52331964386034,1984.89444670174,1977.50947360129
"stack",3.4888142821171,1.11727347023256e-14,0.999999999999998,1956.08816062687,1956.08816062687
