"","b","c","alpha","mse","mse_debiased"
"CF",-0.024727511359532,0.0581810590431278,0,0.762057582203863,0.754501566022665
"CBoost",-0.0256744358275399,0.0655357241324266,27.3812678822608,0.755342929618996,0.754434566715424
"CMARS",-0.025505748180513,0.0967383353078429,0.320315051490983,0.765136461312013,0.753809978568493
"PTOForest",-0.024727511359532,0.058181059043128,0,0.783520151428069,0.754501566022665
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.0257048824007756,0.173006481728834,0.993047390658629,0.76045871400958,0.752924948151996
"XBART",-0.024727511359532,0.058181059043128,0,0.766911154009348,0.754501566022665
"RBoosting",-0.024727511359532,0.058181059043128,0,0.771079928229916,0.754501566022665
"RLasso",-0.0246986768620174,0.0857128175551734,0.23537447853404,0.762588597106799,0.754453863036501
"RSlearner",-0.024727511359532,0.058181059043128,0,0.761775900651238,0.754501566022665
"stack",-0.0260709140352772,-2.67948200737491e-10,0.999999999999994,0.752685357646009,0.752685357645979
