"","b","c","alpha","mse","mse_debiased"
"CF",0.643186695406578,-12.0072595739992,3.02550539851742,4847.09223767935,4833.29426890411
"CBoost",0.412564169554818,6.23675593899055,14.2440924383941,4874.26250716524,4862.48002394732
"CMARS",0.239081888357596,6.40373586675086,0,4906.0750782777,4864.27555810984
"PTOForest",0.522379592912249,-0.831936797877711,1.12487166586161,4830.09481295215,4829.6979307625
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.798248123102374,-4.22445177615223,1.35595132067256,4835.48025453176,4832.99787836388
"XBART",0.126973477610222,1.89299701996779,0.547768316390983,4854.6971213204,4831.69820404772
"RBoosting",0.408774521618064,-95.8489613152152,209.665122012582,4872.58025390564,4815.23275044332
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",0.584878063917542,2.02252599223545e-13,0.999999999999974,4801.32359673337,4801.32359673337
