"","b","c","alpha","mse","mse_debiased"
"CF",0.168114804087815,-0.865006282141792,0,2112.30368981515,2071.30630163411
"CBoost",0.168114804087815,-0.865006282141788,0,2071.50289649756,2071.30630163411
"CMARS",0.168114804087815,-0.865006282141785,0,2171.26512271282,2071.30630163411
"PTOForest",0.168114804087815,-0.865006282141788,0,2152.83035060664,2071.30630163411
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.168114804087815,-0.865006282141787,0,2106.17477483444,2071.30630163411
"XBART",0.166246431354534,-1.24168784566378,0.0429570987475732,2126.23988090967,2071.24174549252
"RBoosting",0.168114804087815,-0.865006282141787,0,2076.60508706587,2071.30630163411
"RLasso",0.168114804087815,-0.865006282141787,0,2224.00496742749,2071.30630163411
"RSlearner",0.276880349645478,-60.6634946967683,7.04679716328803,2091.05988791498,2062.93907147098
"stack",0.276880349645464,-1.71947268849117e-13,0.999999999999855,2062.93907147098,2062.93907147098
