"","b","c","alpha","mse","mse_debiased"
"CF",-0.0755354646002369,15.3688615531332,125.690186369861,0.895182851888806,0.886445198441042
"CBoost",-0.0773309379883304,-0.0920436507936508,0,0.896598218764133,0.894925791033745
"CMARS",-0.0623547709995125,0.253716552044474,2.20682331846084,0.87617646644242,0.865620306702254
"PTOForest",-0.0850585974991569,0.103108991136809,1.59441190968796,0.888614444528892,0.887504058388129
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.0763345581473908,0.640891847985057,5.30856480711109,0.888033552647792,0.872459583808735
"XBART",-0.0711438980780688,0.097038793297342,1.75512266760985,0.881602018500128,0.878146349166628
"RBoosting",-0.0824506087899231,-0.197442130181835,1.08818335946266,0.892651943937079,0.88469527926649
"RLasso",-0.0787615608960244,0.39852326386703,4.04429117749937,0.891741767774587,0.886854265046551
"RSlearner",NA,NA,NA,NA,NA
"stack",-0.0642282913995446,7.03992706404209e-15,1.00000000000008,0.850581074970951,0.850581074970951
