"","b","c","alpha","mse","mse_debiased"
"CF",0.0691290986990478,0.146908490614939,1.39098859826623,0.214841370184984,0.208119986250635
"CBoost",0.0700453775080644,0.219616204690832,0,0.220362571096253,0.208777111019809
"CMARS",0.0687477131749593,0.179832596794735,0.7537869885111,0.213170792136306,0.206384900063647
"PTOForest",0.0700453775080644,0.219616204690832,0,0.220336247419341,0.208777111019809
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.0700453775080644,0.219616204690832,0,0.219342563686314,0.208777111019809
"XBART",0.0700453775080644,0.219616204690832,5.55111512312578e-17,0.218524633564204,0.208777111019809
"RBoosting",0.0694074020362142,0.182655965066955,0.344993515685803,0.213641100149441,0.207846377718946
"RLasso",0.0718280075103441,0.156892363750697,1.48876298605369,0.215209713953102,0.207659595850133
"RSlearner",NA,NA,NA,NA,NA
"stack",0.0689142359293265,8.1832066831148e-16,0.999999999999996,0.206282282595844,0.206282282595844
