"term","estimate","std.error","statistic","p.value"
"AGE",0.0019018124764745,0.00639772857657124,0.297263701282831,0.766265191903766
"SEXCD",0.0982402157778207,0.170501304444088,0.576184540629345,0.564490453371005
"B_METANM",0.00572335762343862,0.064561215640152,0.0886500907191584,0.929359998124144
"LIVRONLY",-0.13856154560973,0.18402752672094,-0.752939237290549,0.451486428295976
"PRADJYN",0.149536454422096,0.180813105083633,0.827022213643915,0.408224470992507
"B_LDHYN",-0.174779300699776,0.183002403099478,-0.955065604273881,0.339544521659236
"B_LDH2YN",0.345637783921784,0.224074583537195,1.5425122227859,0.122949170058386
"B_LDHNM",0.000323483324113136,0.000120514843809136,2.68417826293208,0.00727083269803345
"B_ECOGI",0.138165803083793,0.0576021576302837,2.39862200944976,0.0164568929021354
"DIAGTYPE",0.0145750809127387,0.11984559532496,0.12161549094248,0.90320354456142
"TUMCAT",NA,0,NA,NA
"KRAS",-0.243562206898874,0.102232093795567,-2.38244369117514,0.0171981619562136
"B_WEIGHT",-8.54824904725656e-05,0.0409709094232719,-0.0020864191612015,0.998335279571709
"B_HEIGHT",0.00928758310184354,0.0215129929670941,0.431719710783603,0.665945139820623
"B_BSA",-1.15764149847135,3.294055884412,-0.351433472622459,0.725263174314732
"DIAGMONS",-0.00130167563661919,0.00394492934704311,-0.329961710871919,0.741428893618451
"METMONS",-0.0102088229820022,0.0101158896921992,-1.00918686271111,0.31288502587689
"HDIFFER",0.00783677214072532,0.0543380719254967,0.144222491947642,0.885324780611198
"BIOPTPCT",0.00629721675004867,0.00322498774632265,1.952632768056,0.0508631254544323
"CHILDPOT",-0.442161818525043,0.299840753287051,-1.47465550855838,0.14030518327739
"Absolute_Neutrophil_Count",0.0854811347514457,0.215377141084707,0.396890469995729,0.691448232125306
"Alanine_Amino_Transferase",0.0050117606849567,0.0028671365178951,1.74800211070384,0.0804636619314039
"Albumin",-0.0248868512665072,0.0131863590563843,-1.88731788358652,0.0591175824786144
"Alkaline_Phosphatase",-7.96695659008011e-05,0.000177206475117872,-0.449586087911334,0.653008921300136
"Aspartate_Amino_Transferase",0.00256248701288739,0.00348927028824998,0.734390517557925,0.462710764366103
"Bicarbonate",0.0119435857002701,0.0174633105910428,0.683924484879525,0.494022851868358
"Calcium",-0.133954606450053,0.208041690141359,-0.643883475273796,0.519650998120274
"Chloride",-0.0108148686628017,0.015762419305811,-0.686117305534096,0.492639138941605
"Creatinine",0.00316193258597961,0.00296545076581118,1.06625698272711,0.28630748957394
"Hematocrit",-0.712423737610588,3.37286315573342,-0.211222247899255,0.832713851057454
"Hemoglobin",-0.000471934071780721,0.00746350478106698,-0.0632322327946917,0.949581578068944
"Lactate_Dehydrogenase",-0.000297949974840564,0.000141772728141801,-2.10160288756349,0.0355880767118848
