"term","estimate","std.error","statistic","p.value"
"AGE",-0.00385924123184684,0.00689649299813479,-0.55959474371838,0.575755890955263
"SEXCD",0.0606789151290849,0.188395918625977,0.322081898438314,0.747390651161572
"B_METANM",0.0876556440614102,0.074674270385669,1.17383998007207,0.240459126816278
"LIVRONLY",0.0206258760396163,0.199996816660507,0.103131021703353,0.917858984527434
"PRADJYN",-0.0308067327225435,0.193438555018338,-0.159258492804721,0.873465221263051
"B_LDHYN",0.0133183903128903,0.195616562483467,0.0680841649797211,0.94571863562044
"B_LDH2YN",0.233659701138871,0.233415616940571,1.00104570637346,0.316804711800652
"B_LDHNM",0.000444859632348947,0.000124734849673965,3.56644220529974,0.000361860568381646
"B_ECOGI",0.0192068739781588,0.0607747570166827,0.316033743629556,0.751976895980519
"DIAGTYPE",-0.148757557790157,0.130052921450424,-1.14382326925938,0.252696937619422
"TUMCAT",NA,0,NA,NA
"KRAS",-0.121664480038707,0.112237947292023,-1.08398703802162,0.278370546012753
"B_WEIGHT",0.0142804788618261,0.0362090896643029,0.394389336882573,0.693293615109312
"B_HEIGHT",0.00659302082057134,0.0202489034228825,0.32559890690776,0.744727839328851
"B_BSA",-1.02698505405341,2.91221373677261,-0.352647555049151,0.72435268132666
"DIAGMONS",-0.00518453552971521,0.00476920802427605,-1.08708521484596,0.276999151389679
"METMONS",-0.00497058444655315,0.00990409466424388,-0.501871661677279,0.615757800331656
"HDIFFER",0.0791780419231671,0.0572608893316089,1.38275955625893,0.166738603765433
"BIOPTPCT",0.0018301447192893,0.00327763479466694,0.558373593747277,0.576589300562941
"CHILDPOT",-0.377349999898276,0.322415944439095,-1.17038256453089,0.241847048966498
"Absolute_Neutrophil_Count",0.134880269700632,0.276756714365734,0.487360424153569,0.626002934277123
"Alanine_Amino_Transferase",0.000565941959802183,0.00323621493714159,0.174877741681168,0.861175700311009
"Albumin",-0.0161267934992019,0.0148487536760688,-1.08607051143914,0.277447797573374
"Alkaline_Phosphatase",-0.000132099422895632,0.000194720338999235,-0.678405879809766,0.497514382051292
"Aspartate_Amino_Transferase",0.00793476308142491,0.00374328480462084,2.11973266678239,0.0340285964868937
"Bicarbonate",-0.00348160787662477,0.0190158149098104,-0.18309012225548,0.854727306069159
"Calcium",0.258046260378329,0.199722887710027,1.29202147704263,0.196349706997612
"Chloride",-0.00343881684977891,0.017015485676265,-0.202099247427051,0.839839136193144
"Creatinine",0.0026595023784386,0.00346376272804806,0.767807320317611,0.442601664851955
"Hematocrit",0.236615956423211,3.38487346912189,0.0699039295210625,0.944270125477492
"Hemoglobin",0.00559417113664317,0.00773531132084869,0.723199222966685,0.469557496149916
"Lactate_Dehydrogenase",-0.000358015219279735,0.000146576971873498,-2.44250658683764,0.014585663447854
"Lymphocytes",-0.208102567796719,0.155390369705837,-1.33922435599239,0.180497645705927
"Mean_Corpuscular_Volume",-0.016223174077042,0.0115111239389731,-1.40934752879476,0.158732431287639
"Phosphorus",0.854670742221937,0.325619942808877,2.62474937760058,0.00867127675423164
"Platelets",-0.00022778369102184,0.000790754093567423,-0.288058819897109,0.773301714096221
"Potassium",-0.0593677617640387,0.125978275199623,-0.471253965574345,0.637459385232203
"Red_Blood_Cells",-0.389827979235822,0.268368879674536,-1.45258265305793,0.146339665300625
"Serum_Urea",0.0956918457128809,0.0408982255590566,2.33975543938215,0.0192963709397389
"Sodium",-0.0123444250293853,0.0180189411032118,-0.685080491615845,0.493293129849135
"Total_Bilirubin",-0.017406185560492,0.010451636690986,-1.66540285269425,0.0958324106729153
"Total_Neutrophils",-0.247400869629949,0.25576612299784,-0.967293348822584,0.333397407722555
"Total_Protein",-0.0137498496954357,0.0106685073035834,-1.28882600950344,0.197458581593621
"Uric_Acid",-0.000662205024403934,0.000782772802579726,-0.845973470490485,0.397567544158784
"White_Blood_Cells",0.0914633309605568,0.100600863120744,0.90917043972853,0.363260165153207
"non_target_count",0.0263811965376075,0.0190805841597834,1.38261996156343,0.166781425095955
"target_count",0.00450093806357978,0.0192485895602553,0.233832097125358,0.815115330335833
"target_LSSLD",0.00102139700807992,0.00109123283924114,0.936002813835964,0.349271738953195
"target_LSLD",-0.00832957267335249,0.00271703287972847,-3.0656871087202,0.00217170447986657
"ELIGIBLE",-0.446376350724226,0.150093519532821,-2.97398816493617,0.00293956412735776
"OTANY",0.277649323803882,0.129986873451118,2.135979706507,0.0326810679612657
"Resection",0.0523175996805068,0.103462891770262,0.505665352913946,0.613091594748903
"Diastolic_blood_pressure",-0.000835225259874307,0.00773431581148788,-0.107989546875463,0.914003984102354
"Pulse",-0.0100176346714193,0.00636784016254373,-1.57316050901278,0.115681656908955
"Respiration",-0.0127702932803047,0.0175213954992264,-0.728839964879999,0.466099561818284
"Systolic_blood_pressure",0.00287454721552579,0.00498232944271862,0.57694844320798,0.563974284264548
"Temperature",0.0429114923373666,0.155726046456543,0.275557578926538,0.782887895641961
"W",-8.85302412486686,9.35390039418437,-0.94645268302954,0.343917745341054
"AGE:W",-0.00348224801419076,0.00967564666375365,-0.35989822026426,0.718923248003531
