"","b","c","alpha","mse","mse_debiased"
"CF",1.46972921235508,-0.970586360199144,-4.44089209850063e-16,419.689560188008,419.214066499385
"CBoost",1.46972921235508,-0.970586360199144,0,419.403424727661,419.214066499385
"CMARS",1.46972921235508,-0.970586360199144,0,422.257487965214,419.214066499385
"PTOForest",1.46972921235508,-0.970586360199144,0,420.7590252988,419.214066499385
"XBoosting",NA,NA,NA,NA,NA
"XRF",1.46972921235508,-0.970586360199144,-6.93889390390723e-18,423.817262313143,419.214066499385
"XBART",1.46972921235508,-0.970586360199144,0,426.405318705735,419.214066499385
"RBoosting",1.46972921235508,-0.970586360199143,0,419.687060014172,419.214066499385
"RLasso",1.46972921235508,-0.593074616496278,0.287946428571429,419.259471975436,419.214066499385
"RSlearner",1.46972921235508,-0.582441438470868,0.302919708029197,419.253203109006,419.214066499385
"stack",NA,NA,NA,NA,NA
