"","b","c","alpha","mse","mse_debiased"
"CF",1.57543366509432,0.107042248633595,1.80770319479751,426.443863185479,426.408988978975
"CBoost",1.5442751246329,-0.552632946697962,314.744102545323,426.682069850601,425.94117573013
"CMARS",1.5386223051807,-0.451331866872388,0.597407477231629,426.140216659778,425.879954594743
"PTOForest",1.55495443714332,-0.538000941116432,0.196636286659981,426.966238324201,426.528816588303
"XBoosting",NA,NA,NA,NA,NA
"XRF",1.5479497265944,-0.612355429140451,0.207637135924168,428.49126215041,426.384921519501
"XBART",1.54739154276474,-0.54697071453611,0.252932896147826,428.80600067013,426.227149283457
"RBoosting",1.56065198960366,-0.676310811860157,0,427.596631740553,426.577055071193
"RLasso",1.53852608452701,0.0770821480153463,1.89664618777046,426.073293945567,425.884180072795
"RSlearner",1.54114822460129,0.0965033447383118,2.18859004991244,426.137843843006,425.899508252603
"stack",1.54627743373398,-3.15604484068438e-15,0.999999999999996,425.620904103192,425.620904103192
