"","b","c","alpha","mse","mse_debiased"
"CF",0.0721461628140185,166.283681580637,2163.73729298318,0.077998339626691,0.0718898735344276
"CBoost",0.0744046997525504,0.0910807396656453,0,0.0738965153446886,0.072853299129978
"CMARS",0.0744046997525504,0.0910807396656453,0,0.0849931370836986,0.072853299129978
"PTOForest",0.0744046997525504,0.0910807396656454,0,0.0797697602261076,0.072853299129978
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.0744879799654865,0.102058437229908,0.223871597232468,0.0765419738763012,0.0728367109223725
"XBART",0.0744046997525504,0.0910807396656453,0,0.0813374346616381,0.072853299129978
"RBoosting",0.0744046997525504,0.0910807396656453,0,0.0773418349332666,0.072853299129978
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",0.0722156175504119,9.23030944357121e-11,0.999999998986604,0.0718921436364408,0.0718921436367612
