"","b","c","alpha","mse","mse_debiased"
"CF",-0.461738955694256,0.881746844131862,0.00576687515012609,3.62927644611911,3.54261984930855
"CBoost",-0.466802976982625,0.778523559205936,2.81609759600623,3.75488327912596,3.54351170209921
"CMARS",-0.461670392355311,0.889624859784403,0,4.28445358909624,3.54255779108602
"PTOForest",-0.458989633706098,0.728172053952716,0.10094837954601,3.95563823918483,3.53579729223977
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.463974646853938,0.735279708691105,0.112971507801416,3.69445248239098,3.54313074823645
"XBART",-0.461670392355311,0.889624859784403,0,4.69279480739224,3.54255779108602
"RBoosting",-0.461670392355311,0.889624859784403,0,3.8046729954584,3.54255779108602
"RLasso",-0.461670392355311,0.889624859784403,0,3.99665975081937,3.54255779108602
"RSlearner",-0.461670392355311,0.889624859784403,0,4.08013350961331,3.54255779108602
"stack",-0.463475475784973,-3.24072043796678e-15,1.00000000000001,3.53781620350459,3.53781620350459
