"","b","c","alpha","mse","mse_debiased"
"CF",-0.196661413164437,4.33875376712477,2.91225273349046,97.1355588764155,95.2110074630529
"CBoost",-0.224226140252057,2.25725939578867,1026.08091389862,96.4272635363591,94.8122583158255
"CMARS",-0.192490672411274,1.87920613008859,0.838588424541492,96.4465411654019,95.5290741557989
"PTOForest",-0.165468083306855,1.7326364511029,0,105.772241436623,95.6780256204512
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.183186990514522,2.70875145927814,1.43182424154032,96.7080406011646,95.209503563253
"XBART",-0.165468083306855,1.7326364511029,0,101.561573012209,95.6780256204512
"RBoosting",-0.165468083306855,1.7326364511029,0,96.5356098911231,95.6780256204512
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",-0.246817363670945,8.22293433142597e-16,0.999999999999999,94.5257303244216,94.5257303244216
