"","b","c","alpha","mse","mse_debiased"
"CF",0.634347599059331,-2.27419102134304,5.5985808410457,29.0113103579697,28.659307724282
"CBoost",0.643164327398441,-0.56518906855858,1173.6594408389,28.9788987542386,28.9162438770521
"CMARS",0.613631111470554,-0.550295465823014,0,29.6891684761724,28.8951449121688
"PTOForest",0.609623130548219,-0.552047185305032,0.0427099831167694,29.5382021102606,28.888936344999
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.613631111470555,-0.550295465823014,0,29.3059063754212,28.8951449121688
"XBART",0.662498055181972,-0.827167861671003,0.540022788944124,29.2608009077707,28.7611292711457
"RBoosting",0.613631111470554,-0.550295465823014,0,29.1840397237516,28.8951449121688
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",0.685305476574803,6.85438840547058e-17,0.999999999999997,28.6834945202716,28.6834945202716
