"","b","c","alpha","mse","mse_debiased"
"CF",0.397793451910665,0.369169715301393,0,41.0654551222165,40.9007091349839
"CBoost",0.40314958040298,0.313489925084037,151.576592994434,40.9382849646955,40.8908362255515
"CMARS",0.397793451910665,0.369169715301393,0,41.4944444329502,40.9007091349839
"PTOForest",0.397793451910665,0.369169715301393,0,41.829749161148,40.9007091349839
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.397793451910665,0.369169715301393,0,41.5084171851219,40.9007091349839
"XBART",0.397793451910665,0.369169715301393,0,42.3717342111292,40.9007091349839
"RBoosting",0.397793451910665,0.369169715301393,0,41.1127124794003,40.9007091349839
"RLasso",0.397793451910665,0.260578807716288,0.75,40.9155651990288,40.9007091349839
"RSlearner",NA,NA,NA,NA,NA
"stack",0.40314958040298,-5.43641335756235e-15,1.00000000000001,40.8908362255515,40.8908362255515
