"","b","c","alpha","mse","mse_debiased"
"CF",-0.00245362378146222,-0.361028908910758,0,0.868190581939791,0.863421838931984
"CBoost",-0.00161153378652448,-0.28287994617919,746.508461169468,0.895980439383111,0.86044244813062
"CMARS",-0.00245362378146222,-0.361028908910758,0,0.916721535458497,0.863421838931984
"PTOForest",-0.00245362378146222,-0.361028908910758,2.22044604925031e-16,0.878451476645214,0.863421838931984
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.00245362378146222,-0.361028908910758,0,0.871860780356598,0.863421838931984
"XBART",-0.00440271996887431,-0.263142787647722,0.364767884321038,0.873102979515558,0.859755836096696
"RBoosting",-0.00241902485125018,-0.357841396852245,0.0283843902314103,0.891833272736103,0.863410609635067
"RLasso",NA,NA,NA,NA,NA
"RSlearner",-0.00124850415292649,0.163223779089503,1.99246398783573,0.864841844461271,0.862121917991835
"stack",-0.00298609202846271,1.15630981217428e-16,1,0.857327366392193,0.857327366392193
