"","b","c","alpha","mse","mse_debiased"
"CF",1.21274337625763,-5.14550606961488,4.91657221292138,89.3285636404921,88.442878398914
"CBoost",1.33453938389193,1.19965881346893,602.113008888344,90.5060226321954,89.5026725834342
"CMARS",1.2847782825531,1.78354836389306,0,146.567249568216,89.7514917634844
"PTOForest",1.23064393726446,-1.47166777284581,2.31907899392433,88.6465548423605,88.028478756852
"XBoosting",NA,NA,NA,NA,NA
"XRF",1.30533524002462,0.54097688219722,0.747535963828991,89.7315986108945,89.7005617265476
"XBART",1.2052091038239,0.473185918607628,0.817221086275334,88.4694087914122,88.4524311345881
"RBoosting",1.39165905086468,0.322609492893197,2.01482946990547,89.6697015149682,89.3984130312336
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",1.28292283446164,6.93885562024904e-16,0.999999999999999,87.479427870366,87.479427870366
