"","b","c","alpha","mse","mse_debiased"
"CF",0.560325701677308,-4.48874039999433,6.10273490154747,84.2296801803473,83.0327492344878
"CBoost",0.561626669918107,-0.812095970337397,23.2031188870748,84.3288129725687,84.1410717557033
"CMARS",0.566981113178854,-0.627353107196489,0,86.1038937222876,84.2733406910728
"PTOForest",0.566981113178854,-0.627353107196489,0,86.9368866213716,84.2733406910728
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.566981113178854,-0.627353107196489,0,84.8360682818513,84.2733406910728
"XBART",0.552031757795034,-1.64071737726758,1.12027525566536,83.4189282265033,82.8961038447499
"RBoosting",0.56817581268602,-2.8740263900465,4.69200358631554,84.467033107527,84.1372647050818
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",0.55398655424012,-4.82363064071389e-16,1,82.7725253411947,82.7725253411947
