"","b","c","alpha","mse","mse_debiased"
"CF",-0.13203009319338,0.175872010764419,0,68.61639780343,67.272653051588
"CBoost",-0.13203009319338,0.175872010764419,0,67.284266132396,67.272653051588
"CMARS",-0.13203009319338,0.175872010764419,5.55111512312578e-17,69.9247287819788,67.272653051588
"PTOForest",-0.13203009319338,0.175872010764419,0,68.891151975654,67.272653051588
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.13203009319338,0.175872010764419,0,68.7936727038957,67.272653051588
"XBART",-0.13203009319338,0.175872010764419,0,72.2162651664199,67.272653051588
"RBoosting",-0.13203009319338,0.175872010764419,1.11022302462516e-16,69.4787503929175,67.272653051588
"RLasso",-0.13203009319338,0.175872010764419,0,71.8145115572633,67.272653051588
"RSlearner",-0.13203009319338,0.175872010764419,0,69.7855331107501,67.272653051588
"stack",NA,NA,NA,NA,NA
