"","b","c","alpha","mse","mse_debiased"
"CF",-0.548930250470752,2.31952840356494,0,1456.02138753728,1454.78506137468
"CBoost",-0.548930250470752,2.31952840356494,0,1456.06729560008,1454.78506137468
"CMARS",-0.585886689462464,2.3378215556803,0.0708977816998731,1483.03520224538,1454.67530928554
"PTOForest",-0.548930250470752,2.31952840356494,0,1487.33638410459,1454.78506137468
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.505153493004394,-0.361175668446679,1.52959221170492,1449.55185965027,1448.75509734032
"XBART",-0.555568060664841,2.23471422173013,0.0469538402383763,1488.10320351727,1454.71186299248
"RBoosting",-0.548930250470752,2.31952840356494,0,1459.39861064191,1454.78506137468
"RLasso",-0.443139346208994,-0.0932194353413909,1.33147943005582,1449.71283166708,1449.30453991499
"RSlearner",-0.523308281241421,1.14308942361754,0.805602030855382,1452.35670536855,1452.04544317669
"stack",-0.42662437212673,5.59461900610526e-15,0.999999999999998,1445.31256406932,1445.31256406932
