"","b","c","alpha","mse","mse_debiased"
"CF",-5.83806883752379,26.9169252133083,6.71096772303973,3672.58954723128,3594.24017742025
"CBoost",-5.44516401311234,-16.8813494426142,1422.95242708952,3742.22955845115,3646.9798287249
"CMARS",-5.55998849082197,-18.9356205290275,0,4497.04536667935,3650.98897641908
"PTOForest",-5.62280152424395,-18.8036430241449,0.027925096148283,3810.70443815426,3651.62742514589
"XBoosting",NA,NA,NA,NA,NA
"XRF",-6.14664933513243,-17.3324768880724,0.447056131218838,3730.57756721508,3652.66916435802
"XBART",-6.01044335754502,-10.3387318415923,0.887738434950419,3635.9297240133,3612.27777154445
"RBoosting",-5.14771260485608,-26.2655455488036,15.1522064536049,3742.06936093407,3610.93641705908
"RLasso",-6.12392955173525,-5.56169682537353,1.2432977055513,3566.08641065418,3545.66024005596
"RSlearner",-5.55998849082197,-18.9356205290275,0,3957.86710380651,3650.98897641908
"stack",-5.98667459106216,-4.98608774014455e-15,0.999999999999999,3517.09664442484,3517.09664442484
