"","b","c","alpha","mse","mse_debiased"
"CF",3.14145289827802,-4.67239212961615,0,2182.60410925863,2142.37421719703
"CBoost",3.14145289827802,-4.67239212961615,0,2147.38366256027,2142.37421719703
"CMARS",3.14145289827802,-4.67239212961615,-8.67361737988404e-19,3662.87699260412,2142.37421719703
"PTOForest",3.19286332796825,-4.26965452599022,0.0586142072044435,2187.78631657857,2142.55333165155
"XBoosting",NA,NA,NA,NA,NA
"XRF",3.44072539938423,-3.50183757060728,0.303632973928215,2153.10678479463,2143.52124408713
"XBART",3.14145289827802,-4.67239212961615,0,2290.11596854096,2142.37421719703
"RBoosting",3.14145289827802,-4.67239212961615,7.105427357601e-15,2150.85649074774,2142.37421719703
"RLasso",3.14145289827802,-4.67239212961615,0,2359.82098212042,2142.37421719703
"RSlearner",3.14145289827802,-4.67239212961615,4.44089209850063e-16,2229.95999299357,2142.37421719703
"stack",3.4434749753771,-2.50639930408545e-13,0.999999999999947,2143.53126170395,2143.53126170395
