"","b","c","alpha","mse","mse_debiased"
"CF",2.09291269733916,-1.14825239448022,0,487.468376735307,486.692127268779
"CBoost",2.09291269733916,-1.14825239448022,0,486.916016105759,486.692127268779
"CMARS",2.09291269733916,-1.14825239448022,0,489.768590639292,486.692127268779
"PTOForest",2.09291269733916,-1.14825239448022,0,488.176433962199,486.692127268779
"XBoosting",NA,NA,NA,NA,NA
"XRF",2.09291269733916,-1.14825239448022,0,493.010306523877,486.692127268779
"XBART",2.09291269733916,-1.14825239448022,0,490.962144495038,486.692127268779
"RBoosting",2.09291269733916,-1.14825239448022,0,487.621932365992,486.692127268779
"RLasso",2.09291269733916,-1.14825239448022,0,488.791667361675,486.692127268779
"RSlearner",2.09291269733916,-1.14825239448022,0,487.396495591255,486.692127268779
"stack",2.09291269733916,-0.807736167151604,0.296551724137931,486.692127268779,486.692127268779
