"","b","c","alpha","mse","mse_debiased"
"CF",0.699535407925251,10.813726284034,10.7465580628874,441.805142353467,439.742714072152
"CBoost",0.606964648081099,0.878746814819527,91.1310497007315,441.49436947439,441.281360071553
"CMARS",0.605181097105284,1.80206427007415,1.04450706516532,440.6475347676,439.846938164687
"PTOForest",0.650485180616008,1.65283113111335,1.14233984106219,441.178338864987,440.552486930984
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.625371160161071,1.216156487156,0.494461072363214,442.11166635649,440.608382823106
"XBART",0.679480744017582,1.52157993234027,0.879060070719439,439.349220422034,438.599184386902
"RBoosting",0.638727132514868,-15.5633855300246,33.4001187598709,441.223177314511,439.148738841162
"RLasso",0.631988369756548,4.1673248595472,3.40195810102681,441.298548622815,439.642905928209
"RSlearner",0.635888160145122,3.17464617548297,2.98606180651391,440.952935073065,439.495078185248
"stack",0.694375624426764,8.83909596804511e-15,0.999999999999984,437.374246650318,437.374246650318
