"","b","c","alpha","mse","mse_debiased"
"CF",0.533031924803818,-9.03912429617543,7.68563319626567,13.0706240820976,13.0455588639523
"CBoost",0.533425667017343,1.16180066121312,3.34681361020224,13.5217126702337,13.0771386450287
"CMARS",0.532388213559823,-0.512828899278838,1.11427773988306,12.7377233223444,12.7240930839142
"PTOForest",0.570058597322607,0.338655275782347,0.688440967318117,13.0599148330499,13.0260770818347
"XBoosting",0.528085381387394,1.05635836942055,0.231603754696478,13.1822764655328,13.0661531756481
"XRF",0.538961071175519,0.301568152844674,0.652805598997195,13.0312564360583,13.008980410163
"XBART",0.531749674967464,1.1568746936483,0.0736904721117583,13.5752725648443,13.0738013854855
"RBoosting",0.527553391449809,0.775644347916887,0.49128850268453,13.1016801128219,13.0318726151742
"RLasso",0.535931841715058,1.18371387565099,0.0538352422172304,13.3601058212194,13.0808826006529
"RSlearner",0.537543053415029,0.589358051001568,0.492643340204919,13.0840137499669,13.0531071966782
"stack",0.662973407014927,5.59180129494799e-14,1.00000000000001,12.4465617587356,12.4465617587356
