"","b","c","alpha","mse","mse_debiased"
"CF",0.834669943815113,-1.7680444199182,0,73.9976667024915,73.0240389986555
"CBoost",0.834669943815113,-1.7680444199182,0,73.8899914450066,73.0240389986555
"CMARS",0.834669943815113,-1.7680444199182,0,78.4769491428273,73.0240389986555
"PTOForest",NA,NA,NA,NA,NA
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.834669943815113,-1.7680444199182,0,74.8075158873168,73.0240389986555
"XBART",0.834669943815113,-1.7680444199182,0,76.9932736086997,73.0240389986555
"RBoosting",0.834669943815113,-1.7680444199182,0,77.4746843741058,73.0240389986555
"RLasso",0.196056728474684,-4.35845780646483,1.86457625969792,73.6529156179764,70.4797130565599
"RSlearner",NA,NA,NA,NA,NA
"stack",0.196056728474684,3.43118609052119e-15,1,70.4797130565599,70.4797130565599
