"term","estimate","std.error","statistic","p.value"
"(Intercept)",3.68569134774175,5.29602210165535,0.695935794261458,0.486675024169455
"ACHEMM",0.0561004315348501,0.0915444625703237,0.61282168205154,0.540171743410167
"AGE",-0.00638810678336735,0.00399920940782232,-1.59734240744494,0.110591836049779
"SEXCD",0.134399747713304,0.11518489853041,1.16681743377863,0.243638435052885
"RACCAT",0.184806512776055,0.129035306883397,1.4322166331038,0.152479891455463
"B_METANM",-0.0257222096021046,0.040266746858408,-0.638795323907166,0.523142421962217
"PRADJYN",0.307759452279684,0.46734733652157,0.658524031762573,0.510394549790837
"B_LDHYN",0.242954928757329,0.117322025140063,2.07083817780405,0.0387002327639935
"B_ECOG",-0.0443905861118956,0.0758792745435029,-0.585015953024771,0.558705102209138
"DIAGTYPE",-5.32972564519379e-05,0.105569277728805,-0.000504855745900359,0.999597311677124
"PDPROMED",0.161351288268601,0.422615884185844,0.381791821619387,0.702719109723862
"KRAS",-0.0596707535472016,0.0546914236000385,-1.09104407271563,0.275588254391966
"B_WEIGHT",0.00519573950552676,0.0244897108685572,0.212160099946205,0.832037208132391
"B_HEIGHT",-0.0048308537135158,0.0139126543861872,-0.347227321215711,0.72851361588024
"B_BSA",-0.76614628902595,2.08320812255361,-0.367772322280888,0.713142145422454
"DIAGMONS",-0.00240620436289483,0.00213514448508914,-1.12695153873597,0.260107334192903
"METMONS",-0.00556519716136602,0.00596802004328084,-0.932503094997421,0.351363300013251
"CHILDPOT",-0.126827098002375,0.160767365654762,-0.788885838154045,0.430416917210822
"Absolute_Neutrophil_Count",0.137475882742334,0.330906531844119,0.415452309074078,0.677924353489862
"Alanine_Amino_Transferase",-0.00149720061739494,0.00251678447609188,-0.594886304972696,0.552090902504839
"Albumin",-0.00807197514412135,0.0139606245928174,-0.578195845784315,0.563297730169629
"Alkaline_Phosphatase",-0.000302451629506556,0.000441988052715816,-0.684298201383788,0.493988846766607
"Aspartate_Amino_Transferase",8.99231749664666e-05,0.00334962133938461,0.0268457732547725,0.978589567550723
"Blood_Urea_Nitrogen",0.0215893359424322,0.0244232761756655,0.883965598519623,0.376985429980014
"Calcium",0.631852607027022,0.355399873217698,1.77786390666489,0.0758132526124366
"Carbon_Dioxide",0.0115143424724812,0.016196616707824,0.710910351229032,0.477350957297369
"Carcinoembryonic_Antigen",7.51122557825176e-06,1.24760740420922e-05,0.60205041689478,0.547314424356615
"Chloride",0.0513372173290965,0.0200081026676577,2.56582136656471,0.0104777225420234
"Creatinine",-0.0022646629783584,0.00241292593815815,-0.93855469931542,0.348248101553916
"Hematocrit",0.187228836299269,3.57515505155816,0.0523694311433203,0.958247654424731
"Hemoglobin",-0.00481748032843445,0.00917790312192505,-0.524899888834738,0.599800990063186
"Lactate_Dehydrogenase",2.3648758367408e-05,0.000118312104437372,0.199884521367181,0.841622663732041
"Lymphocytes",0.725302047310335,0.400581845287887,1.81062136450313,0.0705816811032619
"`Lymphocytes_(%)`",-0.0672290723412145,0.031267279213006,-2.15014142686421,0.0318488551611402
"Magnesium",0.906570288482949,0.429892609417005,2.1088296672799,0.0352754820225359
"Partial_Thromboplastin_Time",0.011034765424753,0.0101882843872827,1.08308376614682,0.279103805699838
"Phosphorus",-0.053255763714324,0.150900439064457,-0.352919872496697,0.724243254368405
"Platelets",-0.000144023797507294,0.000415316935595966,-0.34678045888166,0.728849196698418
"Potassium",-0.0539770676488556,0.0964567334752816,-0.559598751731397,0.575912785303118
"Prothrombin_Time",-0.0299639794659156,0.0372101466338722,-0.805263676081286,0.42091137436638
"Red_Blood_Cells",0.0291977072289768,0.122233814949233,0.238867675373655,0.811270536771411
"Sodium",-0.0428977613031435,0.0195156258127161,-2.19812378628371,0.0282315200844299
"Total_Bilirubin",0.0116250512117779,0.009585353607636,1.2127931516806,0.225573754788132
"`Total_Neutrophils_(pct)`",-0.017692131786929,0.0265396950347044,-0.666629053717233,0.505204981666359
"Total_Protein",0.00687922262177971,0.00888479436553392,0.774269199573795,0.439004741073281
"Uric_Acid",-0.000870337578282652,0.000481525671221108,-1.80745831489223,0.071073539920061
"White_Blood_Cells",-0.232290912894842,0.308520374754245,-0.752919197248727,0.451724200479652
"ELIGIBLE",-0.516672567522635,0.163460211559628,-3.16084607130318,0.00163351346260263
"CHANY5YR",-0.344228193114526,0.475470290835035,-0.723974136238843,0.469297306174701
"RAANY5YR",0.243423260606252,0.168098454139323,1.44809934066674,0.147988542223959
"Biopsy",0.0698154730514376,0.0743243675570906,0.939334909211442,0.347847754981441
"Resection",0.0536214920586778,0.14248705957973,0.376325346433816,0.706776725224879
"Diastolic_blood_pressure",0.00579319988724068,0.00476750117175391,1.21514388324931,0.22467656682902
"Pulse",0.00506374438478694,0.00289121412598908,1.75142489076441,0.0802632697582804
"Respiration",-0.112970763171407,0.0207499658687681,-5.44438308409197,6.95609035639141e-08
"Systolic_blood_pressure",-0.00143568675786395,0.00254989982629823,-0.563036533065765,0.573570778066804
"Temperature",0.0469746755984391,0.106179134490734,0.44240966762202,0.658314650843923
