"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.783730900959924,2.75249589512294,0.284734630249074,0.775913995559107
"AGE",0.00360578753076054,0.00286630050411071,1.25799354449727,0.208725524316571
"SEXCD",0.072488745308801,0.0728766495340139,0.994677249466142,0.320164833627763
"B_METANM",-0.0499860277914869,0.0295675820105471,-1.69056866989179,0.0912709418730447
"LIVRONLY",-0.0902137653353613,0.0834030188561174,-1.08166067095237,0.27969764604552
"PRADJYN",-0.0512504966335538,0.0770203353908248,-0.665415131906309,0.505958190356919
"B_LDHYN",0.132352797011308,0.0837620572946976,1.58010442061678,0.114439869014672
"B_LDH2YN",-0.054354736271158,0.0964839243212998,-0.563355363637076,0.573335466575762
"B_LDHNM",-5.49595048493501e-05,8.35539300299217e-05,-0.657772828036556,0.510854971199978
"B_ECOGI",-0.122362999357444,0.0266553230128352,-4.59056524276683,5.05890457651043e-06
"DIAGTYPE",0.112877103055697,0.0534821702680159,2.11055577008252,0.0350902175495884
"TUMCAT",NA,NA,NA,NA
"KRAS",0.0260702515777293,0.0454265899516059,0.573898494373066,0.5661821461442
"B_WEIGHT",-0.000548852855900422,0.0151560007667518,-0.0362135674408552,0.971120225023689
"B_HEIGHT",-0.00808688534518826,0.00818003605042151,-0.988612433409942,0.323122702231971
"B_BSA",0.180242468249321,1.21887827447811,0.147875691956604,0.882474517775496
"DIAGMONS",0.00139516873206571,0.00163060426221937,0.855614550011526,0.392442339740029
"METMONS",0.0119466309636143,0.0042813853835369,2.7903657095557,0.00537792834331194
"HISSUBTY",-0.0345513434580574,0.0790021043805001,-0.437347128016322,0.661966202296888
"HDIFFER",0.0104732808596566,0.0249209178012003,0.420260639804852,0.674396960939782
"BIOPTPCT",-0.00219884283754213,0.00140607714128725,-1.56381380009429,0.118218386433252
"BIOPRS",0.0667596136680501,0.0693760644757323,0.962285972439422,0.336168521566723
"BIOPPCT",-0.0014996158257627,0.0437157103845335,-0.0343038192121719,0.972642605869728
"CHILDPOT",0.150002788269794,0.130398539611426,1.15034101391616,0.250313826566332
"Absolute_Neutrophil_Count",-0.071912505940245,0.0719047968530136,-1.00010721241932,0.317531682955151
"Alanine_Amino_Transferase",-0.00103441654781863,0.00144218861080981,-0.717254691976651,0.473406004751766
"Albumin",0.00345058947903794,0.00494130283930492,0.698315725883201,0.48516300399043
"Alkaline_Phosphatase",7.20523014414508e-05,9.39617431165656e-05,0.766825934168391,0.443389288536562
"Aspartate_Amino_Transferase",0.00581057131753093,0.00146916335608119,3.95502058602246,8.26373301535713e-05
"Bicarbonate",-0.0287193569890837,0.0077260616880634,-3.71720523969599,0.000214083647018772
"Calcium",0.0397462413623145,0.0943580006253641,0.421228100414311,0.673690691225709
"Chloride",0.00833831191518417,0.00601542856084546,1.38615425831144,0.166048544405953
"Creatinine",0.00573102310155315,0.0013931883761765,4.11360243851698,4.2581234168063e-05
"Hematocrit",-2.44590362109891,1.70572932345476,-1.43393420483915,0.15194385653642
"Hemoglobin",0.000424187785589766,0.00334417475185051,0.126843785706785,0.899092819679826
"Lactate_Dehydrogenase",5.51617902475951e-05,8.380111836298e-05,0.658246468843827,0.510550767979436
"Lymphocytes",-0.000139453930232325,0.0389242705490575,-0.00358269861619029,0.997142232691704
"Mean_Corpuscular_Volume",-0.000812982256625273,0.00577018279538617,-0.140893674508082,0.887985965243186
"Phosphorus",0.178528979467326,0.127835112500691,1.39655667347545,0.16289666686534
"Platelets",0.000427998508261689,0.000290775675868124,1.47191991552897,0.141397606151512
"Potassium",0.0450716027830234,0.0532126898526075,0.847008540779767,0.397219087690174
"Red_Blood_Cells",0.230717073439012,0.132440076456437,1.74204877867842,0.0818469202083624
"Serum_Urea",0.013161412157355,0.016376123447644,0.803695221242886,0.42178858223441
"Sodium",0.000849695985383526,0.0069971963273774,0.121433777991763,0.903374998495658
"Total_Bilirubin",0.0058682050129332,0.00380452033513396,1.54242966156378,0.123326288177494
"Total_Neutrophils",0.022279259659495,0.072017523244877,0.30935887067013,0.757121290087326
"Total_Protein",-0.00277345503954802,0.00348908014363721,-0.794895767758667,0.426887014011111
"Uric_Acid",-6.40974941322439e-07,9.63088035734133e-07,-0.66554138099519,0.505877504916808
"White_Blood_Cells",2.17208763929089e-05,6.49150275857316e-05,0.334604747170795,0.7380024568004
"non_target_count",0.000801650492805732,0.00775089878507748,0.10342677862716,0.917647665219012
"target_count",0.0118594025132713,0.00826017025324777,1.43573342312264,0.151431155051654
"target_LSSLD",9.71160959667649e-05,0.000447362992283219,0.217085672355487,0.828191557631498
"target_LSLD",0.000546438834969808,0.00111537777553618,0.489913683914965,0.624316262292629
"ELIGIBLE",0.0962066487267884,0.0640482749410671,1.50209586152494,0.133428659171359
"OTANY",-0.0795531282990689,0.0564803230395796,-1.40851050450474,0.15933077147761
"Resection",-0.0214243496800557,0.03827987509909,-0.559676582658573,0.575841516012672
"Diastolic_blood_pressure",0.00058528098940146,0.00334608797942893,0.174915003131911,0.861186383954192
"Pulse",-0.00565130553242962,0.00260168274472162,-2.17217319978586,0.0301071520475186
"Respiration",0.000610666617781184,0.00842814226655877,0.0724556608642204,0.942255642946564
"Systolic_blood_pressure",0.000701429774214989,0.00212216451825242,0.330525634644297,0.741080969365872
"Temperature",0.0119352133496559,0.0631855890750721,0.188891383689965,0.85022120551767
