"term","estimate","std.error","statistic","p.value"
"(Intercept)",-314.541329027271,471.640101778785,-0.666909636905307,0.505159220210703
"AGE",-0.0451726117462093,0.154092033596078,-0.293153453115042,0.769535080858622
"SEX",1.70461138620147,4.04657410900033,0.421248033592194,0.673767782518501
"RACE",0.761161019046644,1.45566516820022,0.522895673864163,0.601294843088611
"PRHNTRTC",7.74618302924808,13.7639379300771,0.562788285489217,0.573849127320196
"TRTDUR",0.108564348545912,0.0110097690139475,9.86072899516594,5.81153222154438e-21
"DIAGTYCD",0.331020893527681,0.752688983091539,0.439784427517553,0.660296697228732
"TUMCAT",-0.774224272248693,2.34520101433904,-0.330131305382748,0.741448791127648
"DSTATUS",-0.995233816310779,5.76703516357658,-0.172572871168963,0.863061941977611
"B_WEIGHT",0.926725776329025,1.16603842163776,0.794764356930358,0.427154301080594
"B_HEIGHT",0.0627034809328208,0.50662640969459,0.123766704089944,0.901553246026891
"B_BSA",-49.6695595558799,88.7031758817776,-0.559952437577644,0.575780365948781
"PRSURG",-2.96120308143321,3.39140562817379,-0.873149191247806,0.383030502277721
"PRRADIO",-2.60650854321695,12.353425611277,-0.210994798142272,0.832983367731193
"DIAGMONS",-0.0435109878087758,0.0387626364416357,-1.12249815293884,0.262227464843769
"DIAGSDCD",5.25318605305731,0.816260774623309,6.43567131531166,3.05225019707834e-10
"HDIFFMCD",0.832317679680909,1.60263294482472,0.519343922367664,0.603766971947155
"DISTMET",0.19377049434843,3.09105082086154,0.0626875795896565,0.950042109167191
"RECDIS",-0.133172505277576,3.11727776089073,-0.0427207696883333,0.965942382039648
"CHILDPOT",18.4081260881249,8.50497265296399,2.16439568229648,0.0309400750985454
"Absolute_Neutrophil_Count",-2.09574963570928,2.68736418804169,-0.779853227573323,0.435872323377155
"Alanine_Amino_Transferase",-0.0767414323789329,0.0789243420861111,-0.972341743377518,0.331383915875047
"Albumin",-0.0225259034060768,0.0306515038579304,-0.734903693811706,0.462767021821709
"Alkaline_Phosphatase",0.0239885004518602,0.013992922107189,1.71433102164815,0.0871314393373928
"Aspartate_Amino_Transferase",0.213653341616046,0.103570009128664,2.06288812189469,0.0396755502627854
"Bicarbonate",0.167854153085313,0.226514777782967,0.741029590776372,0.459047941832435
"Calcium",0.0467843969818675,0.103665593270047,0.451301106819456,0.651982041867139
"Chloride",0.25425983779962,0.26279527369869,0.967520588255113,0.333784640226191
"Creatinine",0.00104322929670256,0.000239924165407976,4.34816265768232,1.68655430843895e-05
"Estimated_Creatinine_Clearance",-8.61411815724648,3.07084783606568,-2.80512699329406,0.0052395591174556
"Hematocrit",32.2497968133694,49.5339601251467,0.651064375468686,0.515325152203104
"Hemoglobin",-0.134589580656063,0.130044923944871,-1.03494682124708,0.301229368445137
"Lactate_Dehydrogenase",-0.00959831188612978,0.00548708190458159,-1.74925617168488,0.0809036527601989
"Lymphocytes",1.78907353339531,2.70967226896925,0.660254582771322,0.50941599067059
"Magnesium",32.9732092806077,8.39455086996089,3.92793012888863,9.86143594897847e-05
"Phosphorus",0.104744811814941,0.232434109096899,0.450643032650917,0.65245599454305
"Platelets",0.0117887293817667,0.0102330219067632,1.15202815836593,0.249898907822062
"Potassium",0.00632780797990341,0.0474867503068498,0.133254180145291,0.894049763600167
"Red_Blood_Cells",1.25303123633505,3.43018168253039,0.365295880016103,0.715055940311185
"Serum_Urea",1.54533639881176,0.599614780667637,2.57721531996112,0.0102656995563534
"Sodium",-0.427660312185412,0.230350581730746,-1.8565627617355,0.0640029236450052
"Total_Bilirubin",-0.564416054765502,0.227572749291268,-2.48015659398266,0.0134839154372419
"Total_Neutrophils",-0.737169091628815,1.08728565007421,-0.6779902701544,0.498113640928241
"Total_Protein",0.0248295759874537,0.0158692745254174,1.56463207865519,0.118346549210434
"Uric_Acid",2.95108102841876e-05,2.10620154827374e-05,1.40113895122596,0.161836695034737
"White_Blood_Cells",2.0564651644639,2.38511927484331,0.86220642554616,0.389016457741172
"ELIGIBLE",-3.68068756251791,4.0333136147801,-0.912571625729774,0.361938737942652
"non_target_count",-0.328083524432273,0.577154020095691,-0.56845055740559,0.570002305500322
"target_count",-0.204349210915368,0.945359954066786,-0.216160214991434,0.828957249632964
"target_LSLD",0.130023573661057,0.0603177770590898,2.15564266457766,0.0316217842183858
"OTANY",9.41741712521527,6.84521491205663,1.37576646550982,0.169553399850354
"Biopsy",-2.94341586501655,1.47200159877001,-1.99960099736035,0.0461221717211379
"Resection",3.62813624513014,1.67459310367952,2.16657780159142,0.0307721097917016
