"Covariate","DF","LogLik","diff","statistic","p-value"
"full model",29,-558.167978502692,NA,NA,NA
"SXANY",28,-558.334264799713,-1,0.332572594040585,0.564148163751109
"DIAGMONS",28,-559.157141292416,-1,1.97832557944776,0.15956691467456
"AGE",28,-558.24438235072,-1,0.15280769605647,0.695866534223038
"SEX",28,-558.838769329989,-1,1.34158165459303,0.246755232757528
"B_WEIGHT",28,-559.865856114722,-1,3.39575522406017,0.0653644237554917
"RACE",28,-558.414786572482,-1,0.493616139579217,0.482318646553862
"B_ECOG",28,-558.349773022914,-1,0.36358904044323,0.546519699408283
"HISSUBTY",28,-559.695547925112,-1,3.05513884483958,0.0804821159972482
"DIAGTYPE",28,-558.3228782025,-1,0.309799399614803,0.57780330783171
"Albumin",28,-558.169346504158,-1,0.00273600293076015,0.958284222898911
"Alkaline_Phosphatase",28,-558.16876042119,-1,0.00156383699481921,0.968455574637056
"Creatinine",28,-562.491201562662,-1,8.64644611994026,0.0032769993153027
"Hemoglobin",28,-558.822144185384,-1,1.30833136538445,0.252696993088511
"Lactate_Dehydrogenase",28,-560.013715103342,-1,3.69147320129991,0.0546912900594004
"Platelets",28,-558.49266817213,-1,0.649379338875178,0.42033466950897
"White_Blood_Cells",28,-558.769359731039,-1,1.20276245669424,0.272770250478293
"KRAS_exon_2_(c12/13)",28,-569.146197347524,-1,21.9564376896631,2.78909748214754e-06
"KRAS_exon_3_(c61)",28,-558.727379145871,-1,1.11880128635767,0.290176714456094
"KRAS_exon_4_(c117/146)",28,-559.45584769041,-1,2.57573837543646,0.108513457041079
"NRAS_exon_2_(c12/13)",28,-571.12153223275,-1,25.907107460115,3.58247667901534e-07
"NRAS_exon_3_(c61)",28,-558.311687812413,-1,0.287418619441951,0.591879508173444
"NRAS_exon_4_(c117/146)",28,-558.631062694996,-1,0.926168384608445,0.335860551187427
"BRAF_exon_15_(c600)",28,-558.22673061297,-1,0.117504220555702,0.73175728743189
"non_target_count",28,-561.469021418238,-1,6.60208583109215,0.0101859373159595
"target_count",28,-558.169226473771,-1,0.00249594215711113,0.960154737944431
"target_LSSLD",28,-558.2435061585,-1,0.15105531161521,0.697528897864298
"target_LSLD",28,-558.528095844787,-1,0.720234684189336,0.396066939278812
