"trialID","outcome_type","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"NCT00113763","OS",0.17086826602633,0.105410497554724,1.71092267804477,2.61035886214865,3.63534989861834e-05,27,-709.151324634776,1476.30264926955,1589.79423643306,1001.12169230478,342,370
"NCT00113763","PFS",0.229185324441437,0.168331534265761,1.13765565852987,3.76616351717474,4.7563873046779e-09,27,-558.167978502692,1174.33595700538,1287.82754416889,442.637055905683,342,370
"NCT00113763","RSP",0.277846273050058,0.220834136711905,0.102834474353135,4.87345837037366,7.08945154123347e-13,27,331.165624964201,-604.331249928402,-490.839662764892,3.61662575749606,342,370
"NCT00460265","OS",0.26197311261734,0.179794529868093,18.5508015379761,3.18785143103165,2.53036687079145e-11,52,-2228.56491206218,4565.12982412435,4794.83657994943,160709.755006543,467,520
"NCT00460265","PFS",0.356814307340138,0.285196200234543,3.11332259254737,4.98218009049087,5.61508476825355e-22,52,-1300.45722034115,2708.9144406823,2938.62119650737,4526.52712297918,467,520
"NCT00460265","ORR",0.36170073340063,0.290626725128323,23.3205836210577,5.08907183079983,1.32301243118531e-22,52,-2347.5530749073,4803.10614981459,5032.81290563967,253977.772739289,467,520
"NCT00364013","OS",0.105374188222453,0.0746616741968676,12.8802916195175,3.43098543266985,1.60052768806763e-09,31,-3700.00528800349,7466.01057600699,7625.74861147351,149809.426720044,903,935
"NCT00364013","PFS",0.150448515433762,0.121283403560503,8.09858315039892,5.15850980059855,1.82445472402517e-17,31,-3266.15665326684,6598.31330653368,6758.0513420002,59225.1052866645,903,935
"NCT00364013","RSP",0.444645299566708,0.425579966550726,0.0793140598446271,23.32218898007,4.59262089641595e-94,31,1059.18045547194,-2052.36091094389,-1892.62287547736,5.68052024040049,903,935
"NCT00115765","OS",0.140989639270239,0.0797099192691353,2.77063166366025,2.3007552787072,5.68884745850827e-07,56,-2023.29713337708,4162.59426675415,4437.26950758021,6025.97385530625,785,842
"NCT00115765","PFS",0.202461432967074,0.145566961943069,1.14641485800584,3.55854319977158,1.77368021316508e-15,56,-1280.28621200589,2676.57242401179,2951.24766483784,1031.6996159254,785,842
"NCT00115765","TF",0.147262671663549,0.0864304546102483,1.00182385468606,2.42080066775338,1.00481818718313e-07,56,-1166.7699910611,2449.53998212221,2724.21522294826,787.866063117151,785,842
"NCT00115765","ORR",0.176647104681273,0.117911101957898,0.463067439630196,3.00747576428069,1.28433902031744e-11,56,-516.994573847901,1149.9891476958,1424.66438852186,168.328691111848,785,842
"NCT00339183","OS",0.193725973789123,0.140035039763794,2.09730301292034,3.6081691873293,1.00470192147726e-16,59,-2011.97925371237,4145.95850742474,4441.9453041369,3897.23041621221,886,946
"NCT00339183","PFS",0.206596021287735,0.153762122028115,0.730821552110942,3.91029290252728,4.90540959277922e-19,59,-1014.66991313855,2151.3398262771,2447.32662298927,473.212724952443,886,946
"NCT00339183","ORR",0.2000626365416,0.146793669900465,0.273961292842735,3.75570710596644,7.52358009973519e-18,59,-86.4712815925879,294.942563185176,590.92935989734,66.4985439187919,886,946
