"maxterms","eps","degree","sum_rsstesthat"
3,5e-05,1,45.6765584822015
3,1,7,60.5010721197392
7,1,7,71.5586292290018
3,5e-06,2,75.269074854374
11,0.005,5,81.8690453266118
3,5e-05,7,100.565230461091
3,1,7,128.966589212392
3,0.01,1,131.565555246069
3,1,1,136.09223326529
5,0.5,1,168.303249344572
11,0.005,5,197.337257925184
3,1e-04,1,204.735778004339
15,0.1,4,227.390359376216
7,5e-06,1,272.649613192155
7,0.5,4,353.410830276695
21,1e-04,5,424.064882650673
15,0.1,2,550.032556761815
15,0.5,5,629.905173040217
21,5e-06,4,704.458746168511
21,1e-04,6,750.986319090753
11,0.2,6,778.668709716461
21,5e-06,4,783.410345765207
15,1e-04,7,940.459437209693
15,0.5,4,947.25306312626
21,5e-05,7,1020.59806625762
21,1,2,1035.62284339006
15,0.1,7,1078.53539694604
21,0.01,1,1106.46838519167
21,0.1,4,1172.55353406054
21,5e-06,6,1228.99649648969
51,0.1,2,1414.79328030565
51,5e-05,2,1479.3721355855
21,0.01,5,1485.73384404506
51,0.5,4,1679.9139703161
51,5e-05,2,1691.12065706314
21,1e-04,5,1695.08885497585
101,1e-04,2,1973.3933176427
101,0.01,1,3018.11772920557
51,0.1,5,3165.67403070326
101,0.01,5,3809.04593957204
