"num_trees","mtry","min_node_size","mean_Z_cv_error"
1e+05,5,25,25.5972923772926
5000,5,25,26.5825861614367
50000,5,93,26.776202414397
50000,5,10,26.8538264566916
5000,5,25,27.0116738333874
10000,5,5,27.1183909888019
1000,5,93,27.3808550331851
50000,5,25,27.8783599683408
1000,5,5,28.2021960339009
500,5,93,28.5700908897266
500,5,5,28.7550034358962
1e+05,5,93,28.9757876777628
500,5,10,29.1828317736255
500,5,93,29.337162572495
500,5,25,29.3769894960267
500,5,5,29.4502444619307
50000,5,93,29.5410834842525
1000,5,25,29.6420241500706
5000,5,4,29.7115716170099
50000,5,10,29.7902894765436
1000,5,25,29.8337591929209
1000,5,4,29.8565221781821
50000,5,25,29.8858975823972
5000,5,10,30.3448943887502
1000,5,25,30.3727058700478
1e+05,5,5,30.6005656522156
500,5,5,30.6126903675586
10000,5,25,30.6714127049949
5000,5,10,30.8296744277573
1000,5,4,31.7546221675174
1e+05,5,10,31.8896803536712
10000,5,93,32.1052847973994
500,5,4,32.1903118028727
50000,5,5,32.3493570725305
10000,5,5,32.4918809906475
50000,5,5,32.8122776976297
10000,5,5,34.0258669648534
1e+05,5,5,34.0456633785665
500,5,25,34.10668585021
1000,5,10,34.1192115503988
500,5,5,34.6297861403252
1000,5,5,35.3150220906053
500,5,5,35.5564492822243
1000,5,5,35.9497341991192
10000,5,5,36.2752950882786
1e+05,5,5,36.2784365082274
1e+05,5,4,36.9796020465892
1e+05,5,4,37.4344569061182
50000,5,5,39.00457446446
1000,5,5,39.5969354575751
