"maxterms","eps","degree","sum_rsstesthat"
3,1,3,407.410030141252
3,0.2,25,488.753789055481
3,0.5,13,502.71188113972
5,0.5,13,739.614323743493
5,1,13,917.10642156259
5,0.005,25,1203.67111319733
7,0.005,25,1284.70822485752
5,0.005,20,1395.93428310166
5,0.01,3,1763.03308671278
7,5e-06,3,1929.4617647147
7,1,8,2083.37956027593
7,0.1,13,2098.92042584068
7,5e-06,1,2107.31894481499
7,0.2,13,2382.78946561475
11,0.1,3,2621.65727378253
11,1,17,2633.03673533492
11,0.5,20,2797.03389864103
11,0.1,13,3282.20628054953
15,0.5,1,3492.81586217971
15,0.2,1,3563.5418204082
15,1,8,3864.82327196676
15,1e-04,8,3869.72552245531
15,0.1,13,4469.71346847081
15,5e-06,17,4530.05222324184
15,0.5,17,5025.55889103302
21,5e-05,8,5030.23611463209
21,1,3,5082.99823622456
11,0.5,13,5487.56275452496
21,1,13,5704.88627643524
21,0.005,25,5832.30886660693
21,1e-04,25,6102.29932920549
35,1,1,9901.64943658353
35,1e-04,13,10348.7708080743
51,5e-05,1,10536.6806461345
51,5e-05,3,11302.146627723
51,1e-04,13,13247.4619704845
35,1,20,13990.8004803605
35,1e-04,8,16577.3563446029
51,0.1,8,17454.4402386196
51,0.1,20,18286.9018293074
51,1,20,18626.4210490383
51,0.01,25,19041.1552390725
51,1e-04,8,21635.7182029174
51,0.01,20,22810.2436947524
101,0.01,8,25127.9952168141
101,5e-06,1,26222.7462721772
101,0.2,3,29429.632945442
101,1e-04,17,60154.1003247628
51,0.5,8,91531.7774866309
21,0.2,17,367217.757987968
