"num_trees","mtry","min_node_size","mean_Z_cv_error"
5000,17,25,62905.1657564006
5000,17,223,63304.0257122866
5000,17,223,63365.3066474419
1e+05,17,223,63510.2873149486
5000,17,223,63589.3695665273
10000,17,223,63693.0242783445
1000,17,223,63829.3557748084
500,17,223,63927.3562252393
10000,17,5,64055.0724717058
10000,17,223,64203.9411029607
1000,17,223,64527.3408385689
1000,17,223,64639.3526803273
10000,17,223,64652.1054639754
10000,17,223,64794.0328625689
1e+05,17,25,64853.1133666167
5000,17,223,65277.9282322238
5000,17,25,65361.8980534486
1000,17,25,65387.6434033754
5000,17,25,65558.8011149887
5000,17,25,65855.3082810714
500,17,25,66039.7114306708
1e+05,17,25,66090.5088865742
50000,17,25,66144.2899261785
500,17,25,66531.3734019163
50000,17,25,66714.9975911468
5000,17,25,66801.6557160002
1000,17,10,67144.0513930174
10000,17,25,67357.9358722176
50000,17,5,67933.2620328701
1000,17,10,68236.2829519028
1000,17,4,68823.5848036939
50000,17,5,69045.8316049475
1000,17,4,69164.2479389638
5000,17,10,69202.5666098208
5000,17,10,69245.5841363184
5000,17,5,69395.3298065449
50000,17,10,69408.8832253603
10000,17,10,69492.9580238269
10000,17,5,69726.2834540996
50000,17,4,69745.2761552534
5000,17,4,70034.6512186248
5000,17,4,70109.8887827005
5000,17,5,70467.2812938153
500,17,5,70730.233366193
5000,17,5,71132.7616396005
500,17,4,71588.0101847582
500,17,4,72074.0064388808
50000,17,4,72506.2132926245
50000,17,4,72863.4787714425
10000,17,4,73894.0574815354
