"maxterms","eps","degree","sum_rsstesthat"
3,0.005,20,777.430498221106
3,0.2,8,891.045017457513
3,5e-06,3,940.134826639153
3,0.01,1,1069.8382233844
5,0.1,1,1915.07628148171
3,0.1,1,1950.72551549446
5,0.005,17,2659.73835363674
5,0.01,20,2785.98005935367
5,5e-05,20,2858.982144106
7,0.5,8,3916.50411604231
7,1e-04,25,3967.70267789663
7,5e-05,25,4352.06798146909
7,5e-06,8,4567.33288926201
7,0.1,17,4978.68251083134
11,1,13,5325.75236161805
7,0.2,8,6025.12391895074
11,0.01,8,6085.55812948244
11,5e-05,20,6522.71603653873
11,1e-04,1,7632.45817976023
15,1e-04,13,7882.70173795502
15,0.2,8,7907.12846526468
21,5e-05,3,8348.22043113643
15,0.2,1,8532.00748374951
15,0.01,17,8570.14628024327
15,1,1,8623.50104808563
15,5e-06,20,9168.69999463093
15,1,17,9358.44991810253
15,0.1,1,10242.1225682809
15,0.01,8,10511.5083671457
21,0.2,13,11617.363370025
15,0.1,20,11819.0677030593
15,0.2,3,12571.4811607784
21,0.1,13,12849.9654198143
21,1,1,13464.9420572983
21,0.005,13,17956.0966173996
21,0.005,25,18041.8073836803
35,0.1,25,19768.4184036439
35,0.1,20,23457.6703706223
35,0.2,25,27702.046410964
51,0.1,17,30317.1927858396
35,0.005,8,30851.4517119495
51,0.1,3,31163.6058985895
51,0.5,8,37359.0057623749
51,5e-05,8,39927.6378828425
51,5e-05,1,43465.2424113135
101,0.1,20,71554.012217181
101,1,3,78019.8063922763
101,1e-04,17,83608.8696214017
101,0.5,8,91925.7053440931
101,5e-06,20,93796.6342902424
