"num_trees","mtry","min_node_size","mean_Z_cv_error"
1000,17,223,58588.4251759185
10000,17,223,58660.1176020288
1e+05,17,223,59507.7566131627
1e+05,17,223,60169.0074644812
1e+05,17,25,60192.3527440108
1e+05,17,25,60206.5690312832
1e+05,17,223,60242.6782828981
10000,17,10,60355.9068924464
50000,17,25,60465.8436281617
50000,17,25,60586.7820848153
1000,17,25,60769.3572641384
1e+05,17,25,60866.9460341636
5000,17,25,60998.1297974755
1e+05,17,25,61127.1169966286
1e+05,17,25,61150.7979466234
1e+05,17,25,61285.7068115224
1000,17,25,61456.8493579173
50000,17,25,61553.2131981102
1e+05,17,25,61579.6388625431
10000,17,5,61617.0639977937
1e+05,17,25,61668.67992705
5000,17,25,61922.7753866362
500,17,5,61971.3591636413
1000,17,25,61997.5273138357
1000,17,25,62071.7074785027
1e+05,17,25,62179.5063465755
50000,17,5,62294.8324279139
500,17,25,62373.8803174954
50000,17,10,62698.2671247736
10000,17,5,62877.1880164473
1e+05,17,10,63419.5381856955
1000,17,25,63676.6462963049
10000,17,5,63784.2687786801
500,17,10,64020.2234193317
5000,17,5,64060.8447269579
500,17,4,64223.0838031981
10000,17,10,64281.5522169398
1000,17,10,64355.7695381225
1000,17,5,64430.47713906
50000,17,4,64472.1586689323
1000,17,10,64670.5594700735
1000,17,4,64795.0131200938
10000,17,5,64887.4861364585
1000,17,5,65062.5883793537
500,17,4,65383.1358738862
1000,17,4,65678.5134018732
1e+05,17,5,65683.4719739778
50000,17,4,66035.5307071875
500,17,4,66713.0121568984
500,17,5,67002.4108422638
