"num_trees","mtry","min_node_size","mean_Z_cv_error"
5000,16,223,60360.8254161019
50000,16,223,60723.5776136792
10000,16,223,60944.9189355631
10000,16,223,61303.7121403801
1000,16,223,61972.8259799303
1000,16,223,62036.4860055187
5000,16,25,63566.3105199606
1e+05,16,25,63655.0001342301
10000,16,25,63957.8117753291
1e+05,16,25,63993.2585297157
50000,16,25,64110.505455403
10000,16,25,64278.2774382612
10000,16,25,64467.3689772908
5000,16,25,64603.6855047547
1000,16,25,64971.3429603856
500,16,25,64972.0385891852
50000,16,25,65400.579373152
10000,16,10,65454.7741494816
10000,16,25,65742.5360665188
50000,16,25,66034.1444689374
10000,16,10,66420.1761027153
10000,16,25,66449.9586937245
10000,16,5,66677.3886446558
50000,16,25,66723.697201004
1000,16,10,67549.6560513206
10000,16,10,68020.665095553
5000,16,10,68200.935952081
5000,16,4,68236.6814348732
1e+05,16,10,68436.2981724604
500,16,4,68690.4673605303
50000,16,5,68770.7405786841
1e+05,16,4,68984.9423026535
500,16,10,69011.139612186
50000,16,10,69092.4885809902
50000,16,10,69255.7109456302
1e+05,16,10,69776.9782792512
1000,16,5,69829.09616739
1000,16,4,70110.5229172671
1000,16,5,70329.4386881002
1e+05,16,4,70586.3667674604
10000,16,5,70869.6270752545
500,16,4,71160.9116360743
500,16,5,71269.5003667759
50000,16,5,71315.7275509219
1000,16,5,71631.8673087372
1e+05,16,5,71696.0992739438
1000,16,4,72041.7219225154
10000,16,4,72267.0043686456
10000,16,5,72688.6576864612
1e+05,16,4,74183.6515571221
