"num_trees","mtry","min_node_size","mean_Z_cv_error"
10000,10,25,217.099200886962
5000,10,25,218.717590027299
1000,10,25,224.535949521025
500,10,10,225.740298621343
50000,10,25,227.38404656008
10000,10,25,235.990332640418
5000,10,5,237.321064029617
50000,10,10,238.827035540588
1e+05,10,5,239.88881443983
1000,10,5,240.448066215234
10000,10,25,241.097028379463
1e+05,10,25,241.122076354277
500,10,93,241.201191562354
50000,10,4,241.638558269646
5000,10,93,243.213843174904
10000,10,93,243.804965345938
500,10,25,247.503291995601
500,10,5,248.32526342142
1e+05,10,4,249.016043450791
1e+05,10,4,251.053472816327
1000,10,10,251.333943243098
5000,10,4,252.191850806627
500,10,25,252.308361962911
50000,10,93,254.253088196424
1e+05,10,5,255.406042675247
1e+05,10,10,257.709612431777
1e+05,10,93,261.179081372872
500,10,4,266.452144752848
10000,10,25,267.384449887689
1e+05,10,93,268.383706255965
5000,10,10,268.54891504206
1e+05,10,25,270.497450370144
5000,10,25,272.876069693693
1000,10,25,276.081254361358
500,10,10,278.978248569763
500,10,25,280.685292039985
50000,10,25,281.63825574328
50000,10,93,282.425053626964
1e+05,10,4,282.948272379765
500,10,10,283.376962672189
1000,10,4,284.924169190519
1000,10,4,289.168381283475
500,10,93,289.383309568212
1e+05,10,93,292.965998451652
50000,10,4,295.294517446295
500,10,4,296.282279508485
5000,10,5,308.571212118426
1e+05,10,93,330.822457169104
5000,10,10,350.112539677595
10000,10,5,365.853754246208
