"num_trees","mtry","min_node_size","mean_Z_cv_error"
500,27,10,35.4455304322543
5000,26,4,35.7214805032225
5000,26,25,38.9134028574306
10000,26,25,46.3823376870888
1000,26,4,52.5022209794898
500,26,10,54.7506834626405
50000,26,10,55.5136533342349
10000,27,25,55.6345721556395
50000,26,93,56.4528807215619
10000,27,4,56.4753659785461
500,26,5,57.012461299272
500,26,25,57.8353309311875
1e+05,26,10,58.0554843450891
5000,27,25,60.8231964880594
10000,26,4,61.2408491376884
1e+05,26,5,61.7520274201485
1000,26,25,62.8659847062674
5000,27,10,63.0347531873483
50000,26,25,64.8100534396797
5000,27,10,64.9654755085489
1e+05,27,5,67.269993460059
50000,26,25,68.1474689120741
500,26,5,70.3465476768237
500,27,25,72.0020363435655
1e+05,26,10,72.3494938430347
10000,27,93,74.4848334892391
10000,27,93,75.088186036078
1000,26,10,75.3619248966048
5000,26,10,76.8314165541059
50000,26,10,78.8034065290516
500,27,93,79.0811488635252
10000,27,25,79.325291007325
1000,27,4,81.2725799157566
1e+05,27,5,84.7742736076803
1000,26,25,85.0747621863905
10000,27,5,86.9263457395971
1e+05,27,5,87.4739933526641
1e+05,27,10,88.2692798262219
500,27,25,88.6246353535645
5000,27,10,89.0533140939452
1000,26,5,90.4635188977051
50000,27,93,91.547092618643
500,26,25,91.6443823191513
500,26,25,92.4001744162146
50000,26,5,94.1602539374964
5000,27,10,97.8779504920434
50000,27,5,100.886397587974
1000,27,25,107.027494179844
1000,26,5,119.240443546969
50000,26,5,137.915447542846
