"","maxterms","eps","degree","sum_rsstesthat"
"10",3,0.1,40,0.124454240431905
"9",3,0.1,27,0.223269415272046
"15",3,0.5,27,0.231010737779703
"22",3,5e-06,27,0.240694993347044
"6",3,0.2,13,0.253760977001198
"23",3,5e-05,2,0.316183193413672
"7",5,1,32,0.903471318540909
"4",7,0.005,21,1.11185901122483
"14",5,0.2,21,1.1327805854674
"18",15,0.2,5,2.43596734654556
"11",15,0.01,13,3.53937073835801
"2",7,0.5,13,3.69664979018871
"27",15,1e-04,13,4.2893681114852
"31",15,1,40,6.38359966004208
"17",11,0.01,21,9.54028054543762
"30",101,5e-05,32,17.5273733244588
"19",55,0.01,13,18.6417322743352
"8",5,5e-06,21,69.0306159498812
"3",21,5e-06,5,87.4641670969519
"25",15,0.5,21,542.052866413694
"21",51,0.5,2,1109.7138738302
"1",7,0.005,40,NA
"5",101,1e-04,27,NA
"12",21,0.2,2,NA
"13",11,0.1,40,NA
"16",7,0.01,2,NA
"20",5,0.1,13,NA
"24",7,1,2,NA
"26",3,0.2,2,NA
"28",5,0.5,5,NA
"29",5,0.005,40,NA
