"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"35",50000,27,10,57.1307325316805
"32",1e+05,26,4,59.5762455623043
"8",1e+05,26,25,60.507359333432
"2",5000,27,25,60.9172401030045
"4",10000,27,93,61.2377953014405
"6",1000,27,93,61.473999469357
"46",1e+05,27,5,61.6672186683944
"37",5000,27,93,61.8596124473218
"7",50000,27,93,61.9652025535653
"30",1000,27,93,62.0780032461489
"36",50000,26,10,62.8876087947161
"26",1000,26,10,62.914482596251
"41",10000,26,25,62.975260987615
"14",10000,27,5,62.9818247400752
"33",500,27,10,63.3751523194145
"48",500,26,25,63.3758926273198
"49",50000,27,4,63.450338343629
"43",10000,27,93,63.6008316964449
"11",10000,27,93,63.7579635062176
"10",10000,26,5,64.0019261172793
"9",50000,27,93,64.029135843227
"21",50000,26,93,64.1139577849414
"38",1e+05,26,25,64.3525792539054
"39",10000,27,4,64.5037027711007
"16",1000,26,5,64.6949722101733
"25",1e+05,27,25,64.8294483284319
"24",5000,27,5,65.1136583921143
"19",5000,27,10,65.1960329330565
"27",5000,26,25,65.3123767803824
"28",50000,26,93,65.4639307737448
"18",1e+05,27,25,65.8034090060102
"22",5000,27,5,66.0492430198806
"34",1000,27,25,66.1319594528758
"44",1e+05,27,25,66.1995023461918
"47",50000,27,25,66.3327594036022
"42",10000,26,5,66.3608256620372
"23",1000,26,10,67.5927770566284
"3",500,27,4,67.8461015610546
"29",10000,27,25,68.0624777527522
"5",500,27,10,68.1082789707445
"1",1e+05,26,5,68.1340814198213
"13",5000,26,93,68.3466188605009
"17",1e+05,27,93,68.5442130457311
"45",1000,27,10,68.7980966108059
"40",1000,27,4,69.1131805160698
"20",1e+05,26,5,69.469604992489
"50",1e+05,27,5,71.2093727165335
"12",1e+05,26,93,71.4781990601291
"31",1e+05,26,4,72.4176860652965
"15",1000,26,25,74.2172787570316
