"","maxterms","eps","degree","sum_rsstesthat"
"7",3,0.5,11,643.607490529675
"17",3,1e-04,67,715.444949545093
"24",3,0.5,28,725.611573737548
"33",3,5e-06,5,732.671529702737
"16",5,1,44,980.535067814729
"15",5,1,44,1092.32726337024
"26",5,0.2,11,1291.96921624131
"22",5,5e-06,44,1359.13313337804
"34",7,5e-05,5,1376.5173908686
"21",5,1,5,1481.30064243471
"23",5,5e-06,84,1661.84032807953
"10",7,1e-04,67,1917.30671829448
"31",7,5e-05,67,2155.9856290198
"9",11,5e-05,5,2687.65072092437
"19",11,0.01,84,3023.20402586364
"35",11,0.005,5,3577.31344314384
"30",15,5e-06,11,4160.97215609488
"20",15,0.2,28,4408.17806147354
"28",15,1e-04,44,5020.23862359201
"6",15,0.01,84,5250.79988334479
"3",15,0.2,56,5315.21999697046
"1",15,1,56,5845.24042035218
"29",21,1e-04,67,6206.52027131364
"8",21,0.01,56,6526.60534749065
"4",21,1e-04,56,7948.96490277634
"13",11,5e-06,28,10262.770618084
"12",51,1e-04,5,10691.8257448209
"18",51,0.005,28,17634.4962353223
"14",101,1e-04,84,35806.2564895058
"32",113,5e-06,11,38301.6990007384
"27",113,1e-04,84,42744.6102745278
"2",113,5e-06,56,44807.7175724593
"11",51,0.005,11,228633.486258658
"5",7,0.2,56,NA
"25",7,0.1,28,NA
